K,time to sort the top K element
0,0
1000,539
2000,607
3000,649
4000,642
5000,635
6000,682
7000,701
8000,701
9000,680
10000,692
11000,709
12000,750
13000,745
14000,776
15000,741
16000,754
17000,777
18000,739
19000,739
20000,773
21000,778
22000,772
23000,747
24000,769
25000,761
26000,764
27000,757
28000,787
29000,775
30000,769
31000,760
32000,773
33000,764
34000,756
35000,811
36000,804
37000,808
38000,826
39000,772
40000,803
41000,817
42000,805
43000,913
44000,852
45000,802
46000,812
47000,815
48000,791
49000,801
50000,815
51000,841
52000,815
53000,838
54000,795
55000,815
56000,817
57000,837
58000,807
59000,797
60000,809
61000,811
62000,843
63000,830
64000,829
65000,832
66000,849
67000,845
68000,852
69000,850
70000,859
71000,849
72000,839
73000,825
74000,810
75000,880
76000,883
77000,892
78000,896
79000,853
80000,906
81000,935
82000,883
83000,890
84000,935
85000,894
86000,888
87000,957
88000,928
89000,876
90000,894
91000,868
92000,837
93000,895
94000,876
95000,854
96000,820
97000,860
98000,835
99000,916
100000,858
101000,837
102000,845
103000,835
104000,899
105000,836
106000,873
107000,831
108000,838
109000,854
110000,867
111000,855
112000,882
113000,885
114000,875
115000,849
116000,851
117000,894
118000,851
119000,867
120000,875
121000,874
122000,1030
123000,853
124000,902
125000,867
126000,904
127000,933
128000,880
129000,888
130000,901
131000,853
132000,866
133000,880
134000,892
135000,862
136000,878
137000,891
138000,894
139000,903
140000,923
141000,925
142000,884
143000,894
144000,857
145000,862
146000,871
147000,872
148000,878
149000,865
150000,858
151000,884
152000,889
153000,873
154000,877
155000,886
156000,916
157000,864
158000,865
159000,860
160000,929
161000,904
162000,851
163000,880
164000,954
165000,904
166000,894
167000,905
168000,899
169000,881
170000,882
171000,892
172000,868
173000,890
174000,942
175000,885
176000,851
177000,903
178000,898
179000,910
180000,875
181000,873
182000,873
183000,887
184000,863
185000,886
186000,853
187000,867
188000,852
189000,875
190000,862
191000,880
192000,873
193000,885
194000,864
195000,902
196000,877
197000,894
198000,882
199000,908